Rk,Player,From,To,No of Season,Tm,Lg,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
1,Tony Gonzalez*,1997,2013,17,TOT,NFL,270,254,2012,1325,15127,11.42,111,56,65.90%,7.52
2,Jason Witten,2003,2019,17,DAL,NFL,243,233,1636,1166,12592,10.8,70,51.8,71.30%,7.7
3,Antonio Gates,2003,2018,16,SDG,NFL,236,190,1459,955,11841,12.4,116,50.2,65.50%,8.12
4,Shannon Sharpe*,1990,2003,14,TOT,NFL,204,169,1197,815,10060,12.34,62,49.3,,
5,Greg Olsen,2007,2019,13,TOT,NFL,178,152,1111,684,8073,11.8,59,45.4,61.60%,7.27
6,Rob Gronkowski,2010,2018,9,NWE,NFL,115,100,794,521,7861,15.09,79,68.4,65.60%,9.9
7,Vernon Davis,2006,2019,14,TOT,NFL,198,179,928,583,7562,12.97,63,38.2,62.80%,8.15
8,Jimmy Graham,2010,2019,10,TOT,NFL,141,102,965,620,7527,12.14,73,53.4,64.20%,7.8
9,Heath Miller,2005,2015,11,PIT,NFL,168,167,825,592,6569,11.1,45,39.1,71.80%,7.96
10,Jeremy Shockey,2002,2011,10,TOT,NFL,136,129,884,547,6143,11.23,37,45.2,61.90%,6.95
11,Ben Watson,2004,2018,15,TOT,NFL,195,135,836,530,5885,11.1,44,30.2,63.40%,7.04
12,Todd Heap,2001,2012,12,TOT,NFL,145,131,817,499,5869,11.76,42,40.5,61.10%,7.18
13,Delanie Walker,2006,2019,14,TOT,NFL,180,99,782,500,5835,11.67,36,32.4,63.90%,7.46
14,Dallas Clark,2003,2013,11,TOT,NFL,143,118,776,505,5665,11.22,53,39.6,65.10%,7.3
15,Owen Daniels,2006,2015,10,TOT,NFL,131,125,758,479,5661,11.82,36,43.2,63.20%,7.47
16,Travis Kelce,2013,2019,7,KAN,NFL,84,77,612,434,5605,12.91,33,66.7,70.90%,9.16
17,Ben Coates,1991,2000,10,TOT,NFL,158,114,786,499,5555,11.13,50,35.2,,
18,Jared Cook,2009,2019,11,TOT,NFL,153,79,729,433,5554,12.83,25,36.3,59.40%,7.62
19,Wesley Walls,1989,2003,15,TOT,NFL,196,116,746,450,5291,11.76,54,27,,
20,Kellen Winslow,2004,2013,10,TOT,NFL,105,83,759,469,5236,11.16,25,49.9,61.80%,6.9
21,Frank Wycheck,1993,2003,11,TOT,NFL,155,135,740,505,5126,10.15,28,33.1,68.20%,6.93
22,Brent Jones,1989,1997,9,SFO,NFL,128,125,426,407,5103,12.54,31,39.9,,
23,Zach Ertz,2013,2019,7,PHI,NFL,95,60,668,461,5082,11.02,29,53.5,69.00%,7.61
24,Brent Celek,2007,2017,11,PHI,NFL,175,132,617,398,4998,12.56,31,28.6,64.50%,8.1
25,Alge Crumpler,2001,2010,10,TOT,NFL,155,132,632,373,4743,12.72,39,30.6,59.00%,7.5
