Rk,Player,From,To,No of Season,Tm,Lg,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
1,Jerry Rice*,1989,2004,16,TOT,NFL,243,237,1640,1285,18014,14.02,148,74.1,,
2,Larry Fitzgerald,2004,2019,16,CRD,NFL,238,236,2190,1326,16579,12.5,118,69.7,60.50%,7.57
3,Terrell Owens*,1996,2010,15,TOT,NFL,219,201,1867,1078,15934,14.78,153,72.8,57.70%,8.53
4,Randy Moss*,1998,2012,15,TOT,NFL,218,193,1741,982,15292,15.57,156,70.1,56.40%,8.78
5,Isaac Bruce,1994,2009,16,TOT,NFL,223,201,1770,1024,15208,14.85,91,68.2,57.90%,8.59
6,Steve Smith,2001,2016,16,TOT,NFL,219,198,1748,1031,14731,14.29,81,67.3,59.00%,8.43
7,Marvin Harrison*,1996,2008,13,CLT,NFL,190,188,1781,1102,14580,13.23,128,76.7,61.90%,8.19
8,Reggie Wayne,2001,2014,14,CLT,NFL,211,197,1714,1070,14345,13.41,82,68,62.40%,8.37
9,Tim Brown*,1989,2004,16,TOT,NFL,239,193,1643,1051,14209,13.52,95,59.5,,
10,Andre Johnson,2003,2016,14,TOT,NFL,193,187,1739,1062,14185,13.36,70,73.5,61.10%,8.16
11,Anquan Boldin,2003,2016,14,TOT,NFL,202,198,1737,1076,13779,12.81,82,68.2,61.90%,7.93
12,Torry Holt,1999,2009,11,TOT,NFL,173,158,1560,920,13382,14.55,74,77.4,59.00%,8.58
13,Cris Carter*,1989,2002,14,TOT,NFL,209,193,1515,1057,13054,12.35,122,62.5,,
14,Brandon Marshall,2006,2018,13,TOT,NFL,179,158,1648,970,12351,12.73,83,69,58.90%,7.49
15,Jimmy Smith,1992,2005,14,TOT,NFL,178,150,1463,862,12287,14.25,67,69,58.90%,8.4
16,Hines Ward,1998,2011,14,PIT,NFL,217,190,1558,1000,12083,12.08,85,55.7,64.20%,7.76
17,Derrick Mason,1997,2011,15,TOT,NFL,230,169,1514,943,12061,12.79,66,52.4,62.30%,7.97
18,Calvin Johnson,2007,2015,9,DET,NFL,135,130,1312,731,11619,15.89,83,86.1,55.70%,8.86
19,Muhsin Muhammad,1996,2009,14,TOT,NFL,202,188,1521,860,11438,13.3,62,56.6,56.50%,7.52
20,Rod Smith,1995,2006,12,DEN,NFL,183,158,1408,849,11389,13.41,68,62.2,60.30%,8.09
21,Keenan McCardell,1992,2007,16,TOT,NFL,209,168,1413,883,11373,12.88,63,54.4,62.50%,8.05
22,Antonio Brown,2010,2019,10,TOT,NFL,131,103,1283,841,11263,13.39,75,86,65.50%,8.78
23,Michael Irvin*,1989,1999,11,DAL,NFL,145,137,960,718,11250,15.67,60,77.6,,
24,Chad Johnson,2001,2011,11,TOT,NFL,166,135,1372,766,11059,14.44,67,66.6,55.80%,8.06
25,Julio Jones,2011,2019,9,ATL,NFL,115,114,1132,721,11048,15.32,55,96.1,63.70%,9.76
26,Joey Galloway,1995,2010,16,TOT,NFL,198,175,1444,701,10950,15.62,77,55.3,48.50%,7.58
27,Roddy White,2005,2015,11,ATL,NFL,171,149,1377,808,10863,13.44,63,63.5,58.70%,7.89
28,Keyshawn Johnson,1996,2006,11,TOT,NFL,167,162,1426,814,10571,12.99,64,63.3,57.10%,7.41
29,DeSean Jackson,2008,2019,12,TOT,NFL,155,148,1066,597,10415,17.45,55,67.2,56.00%,9.77
30,Santana Moss,2001,2014,14,TOT,NFL,197,135,1268,732,10283,14.05,66,52.2,57.70%,8.11
31,Irving Fryar,1989,2000,12,TOT,NFL,184,152,998,694,10257,14.78,60,55.7,,
32,Andre Rison,1989,2000,12,TOT,NFL,186,156,1013,743,10205,13.73,84,54.9,,
33,Donald Driver,1999,2012,14,GNB,NFL,205,155,1234,743,10137,13.64,61,49.4,60.20%,8.21
34,Andre Reed*,1989,2000,12,TOT,NFL,176,161,809,722,10102,13.99,65,57.4,,
35,Eric Moulds,1996,2007,12,TOT,NFL,186,157,1317,764,9995,13.08,49,53.7,58.00%,7.59
36,Wes Welker,2004,2015,12,TOT,NFL,175,102,1275,903,9924,10.99,50,56.7,70.80%,7.78
37,Marques Colston,2006,2015,10,NOR,NFL,146,106,1099,711,9759,13.73,72,66.8,64.70%,8.88
38,Amani Toomer,1996,2008,13,NYG,NFL,190,141,1239,668,9497,14.22,54,50,53.90%,7.67
39,Henry Ellard,1989,1998,10,TOT,NFL,147,132,649,539,9416,17.47,37,64.1,,
40,Rob Moore,1990,1999,10,TOT,NFL,153,146,1087,628,9368,14.92,49,61.2,,
41,Demaryius Thomas,2010,2019,10,TOT,NFL,133,119,1130,689,9329,13.54,62,70.1,61.00%,8.26
42,Herman Moore,1991,2002,12,TOT,NFL,146,122,1138,670,9174,13.69,62,62.8,,
43,Vincent Jackson,2005,2016,12,TOT,NFL,155,137,1035,540,9080,16.81,57,58.6,52.20%,8.77
44,Tony Martin,1990,2001,12,TOT,NFL,177,100,1058,593,9065,15.29,56,51.2,,
45,A.J. Green,2011,2018,8,CIN,NFL,111,111,1026,602,8907,14.8,63,80.2,58.70%,8.68
46,Ricky Proehl,1990,2006,17,TOT,NFL,244,109,994,669,8878,13.27,54,36.4,,
47,Terry Glenn,1996,2007,12,TOT,NFL,137,127,1087,593,8823,14.88,44,64.4,54.60%,8.12
48,Terance Mathis,1990,2002,13,TOT,NFL,206,130,1116,689,8809,12.79,63,42.8,,
49,Joe Horn,1996,2007,12,TOT,NFL,163,114,1051,603,8744,14.5,58,53.6,57.40%,8.32
50,Johnnie Morton,1994,2005,12,TOT,NFL,182,156,1145,624,8719,13.97,43,47.9,54.50%,7.61
51,Anthony Miller,1989,1997,9,TOT,NFL,139,137,733,559,8622,15.42,60,62,,
52,Laveranues Coles,2000,2009,10,TOT,NFL,153,138,1171,674,8609,12.77,49,56.3,57.60%,7.35
53,Jordy Nelson,2008,2018,11,TOT,NFL,151,102,924,613,8587,14.01,72,56.9,66.30%,9.29
54,Plaxico Burress,2000,2012,13,TOT,NFL,148,138,1104,553,8499,15.37,64,57.4,50.10%,7.7
55,Eddie Kennison,1996,2008,13,TOT,NFL,179,154,1037,548,8345,15.23,42,46.6,52.80%,8.05
56,T.Y. Hilton,2012,2019,8,CLT,NFL,111,90,903,527,8292,15.73,44,74.7,58.40%,9.18
57,Greg Jennings,2006,2015,10,TOT,NFL,143,119,969,571,8291,14.52,64,58,58.90%,8.56
58,Curtis Conway,1993,2004,12,TOT,NFL,167,144,1103,594,8230,13.86,52,49.3,53.90%,7.46
59,Jeff Graham,1991,2001,11,TOT,NFL,160,129,1022,542,8172,15.08,30,51.1,,
60,Mike Wallace,2009,2018,10,TOT,NFL,144,124,942,538,8072,15,57,56.1,57.10%,8.57
61,Pierre Garcon,2008,2018,11,TOT,NFL,148,131,1041,628,7854,12.51,38,53.1,60.30%,7.54
62,Bobby Engram,1996,2009,14,TOT,NFL,176,113,1031,650,7751,11.92,35,44,63.00%,7.52
63,DeAndre Hopkins,2013,2019,7,HTX,NFL,99,99,934,552,7696,13.94,49,77.7,59.10%,8.24
64,Chris Chambers,2001,2010,10,TOT,NFL,153,127,1109,540,7648,14.16,58,50,48.70%,6.9
65,Michael Crabtree,2009,2019,11,TOT,NFL,143,139,1067,637,7499,11.77,54,52.4,59.70%,7.03
66,Dez Bryant,2010,2017,8,DAL,NFL,113,99,909,531,7459,14.05,73,66,58.40%,8.21
67,Ed McCaffrey,1991,2003,13,TOT,NFL,185,109,874,565,7422,13.14,55,40.1,,
68,Mark Carrier,1989,1998,10,TOT,NFL,151,117,604,486,7370,15.16,40,48.8,,
69,Wayne Chrebet,1995,2005,11,NYJ,NFL,152,104,970,580,7365,12.7,41,48.5,59.80%,7.59
70,Sterling Sharpe,1989,1994,6,GNB,NFL,96,96,510,540,7343,13.6,64,76.5,,
71,Emmanuel Sanders,2010,2019,10,TOT,NFL,131,92,919,558,7322,13.12,39,55.9,60.70%,7.97
72,Antonio Freeman,1995,2003,9,TOT,NFL,132,91,863,477,7251,15.2,61,54.9,55.30%,8.4
73,T.J. Houshmandzadeh,2001,2011,11,TOT,NFL,146,92,983,627,7237,11.54,44,49.6,63.80%,7.36
74,Golden Tate,2010,2018,9,TOT,NFL,137,101,904,611,7214,11.81,38,52.7,67.60%,7.98
75,Dwayne Bowe,2007,2015,9,TOT,NFL,125,112,960,537,7208,13.42,44,57.7,55.90%,7.51
76,Darrell Jackson,2000,2008,9,TOT,NFL,123,106,915,499,7132,14.29,51,58,54.50%,7.79
77,Carl Pickens,1992,2000,9,TOT,NFL,129,117,1014,540,7129,13.2,63,55.3,53.30%,7.03
78,Shawn Jefferson,1991,2003,13,TOT,NFL,195,130,866,470,7023,14.94,29,36,,
79,Jake Reed,1991,2002,12,TOT,NFL,155,91,848,450,6999,15.55,36,45.2,,
80,Derrick Alexander,1994,2002,9,TOT,NFL,126,102,803,417,6971,16.72,40,55.3,51.90%,8.68
81,Nate Washington,2005,2015,11,TOT,NFL,159,107,873,458,6954,15.18,44,43.7,52.50%,7.97
82,Brian Blades,1989,1998,10,SEA,NFL,140,115,599,541,6938,12.82,26,49.6,,
83,Jeremy Maclin,2009,2017,9,TOT,NFL,114,112,839,514,6835,13.3,49,60,61.30%,8.15
84,Frank Sanders,1995,2003,9,TOT,NFL,136,120,958,507,6749,13.31,24,49.6,52.90%,7.04
85,Gary Clark,1989,1995,7,TOT,NFL,108,70,409,438,6707,15.31,39,62.1,,
86,Marty Booker,1999,2009,11,TOT,NFL,157,117,1003,539,6703,12.44,37,42.7,53.70%,6.68
87,Deion Branch,2002,2012,11,TOT,NFL,140,111,883,518,6644,12.83,39,47.5,58.70%,7.52
88,Jerricho Cotchery,2004,2015,12,TOT,NFL,175,89,854,524,6623,12.64,34,37.8,61.40%,7.76
89,Doug Baldwin,2011,2018,8,SEA,NFL,123,90,722,493,6563,13.31,49,53.4,68.30%,9.09
90,Mike Evans,2014,2019,6,TAM,NFL,81,80,752,413,6471,15.67,44,79.9,54.90%,8.61
91,Ike Hilliard,1997,2008,12,TOT,NFL,161,106,905,546,6397,11.72,35,39.7,60.30%,7.07
92,Brett Perriman,1989,1997,9,TOT,NFL,137,116,708,509,6374,12.52,28,46.5,,
93,Troy Brown,1993,2007,15,NWE,NFL,192,70,846,557,6366,11.43,31,33.2,65.80%,7.52
94,Michael Haynes,1989,1997,9,TOT,NFL,132,108,567,415,6356,15.32,43,48.2,,
95,Sean Dawkins,1993,2001,9,TOT,NFL,140,109,817,445,6291,14.14,25,44.9,54.50%,7.7
96,Alshon Jeffery,2012,2019,8,TOT,NFL,95,88,757,434,6268,14.44,43,66,57.30%,8.28
97,Webster Slaughter,1989,1998,10,TOT,NFL,126,91,468,446,6266,14.05,30,49.7,,
98,Haywood Jeffires,1989,1996,8,TOT,NFL,121,101,509,526,6196,11.78,49,51.2,,
99,Darnay Scott,1994,2002,9,TOT,NFL,124,104,776,408,6193,15.18,37,49.9,52.60%,7.98
100,Quinn Early,1989,1999,11,TOT,NFL,163,112,654,431,6073,14.09,36,37.3,,
101,Santonio Holmes,2006,2014,9,TOT,NFL,112,91,734,389,6030,15.5,36,53.8,53.00%,8.22
102,Lee Evans,2004,2011,8,TOT,NFL,118,104,724,381,6008,15.77,43,50.9,52.60%,8.3
103,Brandon Lloyd,2003,2014,12,TOT,NFL,142,91,831,399,5989,15.01,36,42.2,48.00%,7.21
104,James Jones,2007,2015,9,TOT,NFL,136,72,716,433,5861,13.54,51,43.1,60.50%,8.19
105,Eric Decker,2010,2017,8,TOT,NFL,111,83,713,439,5816,13.25,53,52.4,61.60%,8.16
106,Odell Beckham,2014,2019,6,TOT,NFL,63,60,659,411,5784,14.07,45,91.8,62.40%,8.78
107,Roy Williams,2004,2011,8,TOT,NFL,115,94,720,393,5715,14.54,44,49.7,54.60%,7.94
108,Jabar Gaffney,2002,2012,11,TOT,NFL,158,103,754,447,5690,12.73,24,36,59.30%,7.55
109,Antonio Bryant,2002,2009,8,TOT,NFL,106,82,713,372,5685,15.28,30,53.6,52.20%,7.97
110,Randall Cobb,2011,2019,9,TOT,NFL,109,74,696,484,5681,11.74,42,52.1,69.50%,8.16
111,Keenan Allen,2013,2019,7,SDG,NFL,74,70,664,454,5658,12.46,31,76.5,68.40%,8.52
112,Nate Burleson,2003,2013,11,TOT,NFL,135,103,750,457,5630,12.32,39,41.7,60.90%,7.51
113,Julian Edelman,2009,2019,11,NWE,NFL,119,75,781,520,5616,10.8,31,47.2,66.60%,7.19
114,Eric Metcalf,1989,2002,14,TOT,NFL,179,77,635,541,5572,10.3,31,31.1,,
115,Malcom Floyd,2004,2015,12,SDG,NFL,121,77,570,321,5550,17.29,34,45.9,56.30%,9.74
116,Braylon Edwards,2005,2012,8,TOT,NFL,112,93,741,359,5522,15.38,40,49.3,48.40%,7.45
117,Chris Calloway,1990,2000,11,TOT,NFL,158,96,673,386,5497,14.24,30,34.8,,
118,Brandin Cooks,2014,2019,6,TOT,NFL,79,68,580,380,5472,14.4,33,69.3,65.50%,9.43
119,Ted Ginn,2007,2019,13,TOT,NFL,175,77,715,391,5416,13.85,31,30.9,54.70%,7.57
