,,,,,,,Games,,Passing,,,,,,,,,,,,,,,,,,,,
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Y/A,AY/A,ANY/A,Y/G,W,L,T,4QC,GWD
1,Terrelle Pryor,2011,2018,1-Mar,TOT,NFL,51,30,175,311,56.27,1994,9,12,1,2.9,3.86,69.3,32,204,6.41,5.25,4.17,39.1,3,7,0,,
2,Antwaan Randle El,2002,2010,Feb-62,TOT,NFL,143,71,22,27,81.48,323,6,0,,22.2,0,156.1,2,21,11.96,16.41,14.55,2.3,0,0,0,,
3,Mohamed Sanu,2012,2019,Mar-83,TOT,NFL,107,83,7,8,87.5,233,4,0,,50,0,158.3,1,6,29.13,39.13,34.11,2.2,0,,,,
4,Joe Webb,2010,2018,6-199,TOT,NFL,102,4,90,159,56.6,888,3,6,,1.9,3.77,63.1,11,69,5.58,4.26,3.58,8.7,1,1,0,0,2
5,Odell Beckham,2014,2019,12-Jan,TOT,NFL,63,60,2,4,50,106,2,0,,50,0,135.4,1,6,26.5,36.5,28,1.7,,,,,
6,Marty Booker,1999,2009,Mar-78,TOT,NFL,157,117,3,10,30,126,2,0,,20,0,118.7,0,0,12.6,16.6,16.6,0.8,0,0,0,,
7,Curtis Conway,1993,2004,7-Jan,TOT,NFL,167,144,2,5,40,56,2,0,,40,0,121.7,0,0,11.2,19.2,19.2,0.3,0,0,0,,
8,Rod Gardner,2001,2006,15-Jan,TOT,NFL,91,62,2,7,28.57,46,2,0,,28.6,0,94,0,0,6.57,12.29,12.29,0.5,0,0,0,,
9,Kevin Lockett,1997,2003,Feb-47,TOT,NFL,86,10,2,2,100,45,2,0,,100,0,158.3,0,0,22.5,42.5,42.5,0.5,0,0,0,,
10,Arthur Marshall,1992,1996,,TOT,NFL,68,10,2,2,100,111,2,0,,100,0,158.3,1,8,55.5,75.5,47.67,1.6,0,0,0,,
11,Randy Moss*,1998,2012,21-Jan,TOT,NFL,218,193,4,8,50,106,2,1,,25,12.5,95.8,0,0,13.25,12.63,12.63,0.5,0,0,0,,
